species,atom_index,symbol,old_charge,new_charge,delta,abs_delta
glucose_0,1,O,-0.6510742946001056,-0.6510969910630346,-2.269646292907268e-05,2.269646292907268e-05
glucose_0,2,C,0.1822053552221311,0.18215591697139125,-4.94382507398583e-05,4.94382507398583e-05
glucose_0,3,O,-0.3660503679160396,-0.36617688267550697,-0.00012651475946734436,0.00012651475946734436
glucose_0,4,C,0.2541017614735846,0.2543792815276126,0.00027752005402797986,0.00027752005402797986
glucose_0,5,C,0.07713287099280769,0.09314123458977475,0.016008363596967057,0.016008363596967057
glucose_0,6,O,-0.588556386016645,-0.5885409200753047,1.546594134027579e-05,1.546594134027579e-05
glucose_0,7,C,-0.46746928545872896,-0.4910467984300144,-0.023577512971285464,0.023577512971285464
glucose_0,8,H,0.11234857151804811,0.11703445698600767,0.004685885467959561,0.004685885467959561
glucose_0,9,C,0.33917146352705774,0.33950998653347675,0.00033852300641901145,0.00033852300641901145
glucose_0,10,O,-0.7134444296135329,-0.7134663624639023,-2.193285036933279e-05,2.193285036933279e-05
glucose_0,11,C,0.3304879677906487,0.33050963078479806,2.16629941493518e-05,2.16629941493518e-05
glucose_0,12,O,-0.6525892156328172,-0.6525606405488547,2.8575083962589787e-05,2.8575083962589787e-05
glucose_0,13,H,0.11571308722326082,0.11573144609024343,1.8358866982606803e-05,1.8358866982606803e-05
glucose_0,14,H,0.03986360457089158,0.03976863303914249,-9.497153174908846e-05,9.497153174908846e-05
glucose_0,15,H,0.07391524465482063,0.06474944010094089,-0.009165804553879747,0.009165804553879747
glucose_0,16,H,0.07391524465481963,0.06474944010094089,-0.009165804553878748,0.009165804553878748
glucose_0,17,H,0.38338645563051743,0.3833699216412849,-1.653398923251448e-05,1.653398923251448e-05
glucose_0,18,H,0.11234857151804772,0.133289527232861,0.020940955714813275,0.020940955714813275
glucose_0,19,H,0.02676171979496976,0.02674168898905387,-2.003080591589032e-05,2.003080591589032e-05
glucose_0,20,H,0.43786222459545554,0.4378143522044938,-4.787239096176732e-05,4.787239096176732e-05
glucose_0,21,H,0.017097942457220294,0.017110869138165785,1.2926680945490876e-05,1.2926680945490876e-05
glucose_0,22,H,0.43184642333548545,0.43177940441535634,-6.701892012911381e-05,6.701892012911381e-05
glucose_2,0,H,0.346125175919865,0.3660816089809989,0.01995643306113387,0.01995643306113387
glucose_2,1,O,-0.5610509730530943,-0.5966617916518201,-0.035610818598725835,0.035610818598725835
glucose_2,2,C,0.08707880457962382,0.27374055761151045,0.18666175303188665,0.18666175303188665
glucose_2,3,O,-0.31278514829564963,-0.33383645456896693,-0.021051306273317305,0.021051306273317305
glucose_2,4,C,0.1764504735449154,0.11911161864275333,-0.05733885490216206,0.05733885490216206
glucose_2,5,C,0.13501556654115981,0.17164112681401175,0.03662556027285194,0.03662556027285194
glucose_2,6,O,-0.6280109000887374,-0.6380416282114569,-0.010030728122719546,0.010030728122719546
glucose_2,7,C,-0.3415680681669961,-0.2902104427646821,0.05135762540231398,0.05135762540231398
glucose_2,8,H,0.06570706021155232,0.07424576831697377,0.008538708105421455,0.008538708105421455
glucose_2,9,C,0.40298385191285524,0.30039686109616337,-0.10258699081669187,0.10258699081669187
glucose_2,10,O,-0.6495335863291615,-0.5963907183926456,0.0531428679365159,0.0531428679365159
glucose_2,11,C,0.247006536077643,-0.09575246909115312,-0.3427590051687961,0.3427590051687961
glucose_2,12,O,-0.7700257327689738,-0.22793674238290085,0.5420889903860729,0.5420889903860729
glucose_2,13,C,1.1148134969763264,-0.03754070918324559,-1.152354206159572,1.152354206159572
glucose_2,14,C,0.42034075292034256,0.8797178884594954,0.4593771355391528,0.4593771355391528
glucose_2,15,O,-0.7471730232338656,-0.8071202184466743,-0.05994719521280867,0.05994719521280867
glucose_2,16,O,-0.6731677296864759,-0.8071202184466743,-0.13395248876019838,0.13395248876019838
glucose_2,17,H,0.17308680437621943,0.11268514354003219,-0.06040166083618724,0.06040166083618724
